3.0 Policy Priority Areas,3.0 Mfundo Zopambana Mndondomekozi
Deforestation has opened up forests leaving bare land which is prone to run-off that leads to flooding during the rainy season,mchitidwe odula mitengo mwachisawawa wapangitsa kuti madzi adziyenda mothamanga popanda mitengo yowachedwetsa zomwe zikumapangitsa mitsinje kusefukira
"Because of this, flooding incidents with terrible effects continue to increase in our townships and in urban areas","chifukwa cha zimenezi, vuto la kusekira kwa madzi m'ma tauni ndi m'mizinda lakula"
"This leads to loss of lives, productive assets and other property.","Kamba ka vuto la madzi osefukira, miyoyo ya anthu, ziweto, ndi katundu wambiri zawonongeka"
A growing number of communities across the country are now experiencing the effects of climate change ,Madera ambiri mdziko muno akukumana ndi mavuto obwera chifukwa cha kusintha kwa nyengo
which are posing immediate and far-reaching threats which also seem to be out of the ordinary.,zomwe zikupereka chiwopsezo chachikulu chomwe sichidawonekepo
"These effects include unpredictable rainfall patterns and temperatures, dry spells, strange diseases, heavy thunderstorms and hailstorms ","zotsatira za kusintha kwa nyengo ku ndi monga kusapanganika kwa kabweredwe ka mvula, katenthedwe kosapanganika, chilala, matenda achilendo ndi mphepo ya mkuntho"
resulting in more devastative damage to staple food crop and livestock yields ,zomwe zikumawononga kwambiri mbewu za chakudya ndi ziweto
whose implications are more pronounced in rural communities whose livelihood is directly linked to agricultural production.,zomwe zotsatira zake zikuwonekera kwambiri ku midzi chifukwa amadalira zokolola zakumunda pa umoyo wawo
Evidence strongly suggests that increased droughts and floods may be exacerbating poverty levels,umboni ukusonyeza kuti kuchuluka kwa chilala ndi kusefukira kwa madzi kukuwonjezera umphawi
leaving many rural farmers trapped in a cycle of poverty and vulnerability,zomwe zikupangitsa alimi akumidzi kukhalabe mu umphawi
The situation in Malawi illustrates the drastic increases in hunger and food insecurity being caused by global warming worldwide,zomwe zikuchitika m'Malawi zikuwonetsera kukula kwa vuto la njala lobwera chifukwa cha kusintha kwa nyengo dziko lonse lapansi
"With the assistance of government, civil society organizations and private sector,","ndi chithandizo cha boma, mabungwe omwe si aboma, ndi mabungwe ochita malonda"
communities are doing their best to adapt to the changing environment by building on local knowledge and diversifying their livelihoods,anthu m'madera osiyanasiyana akuyesetsa kupeza njira zochitira zinthu mogwirizana ndi kusintha kwa nyengo pogwiritsa ntchito zachikhalidwe zawo
communities are also doing their best to cope and mitigate these effects,anthu akuyesetsanso kupeza njira zochepetsera mavutowa
Climate change creates both risks and opportunities hence important to take advantage of opportunities and reduce risks,kusintha kwa nyengo kumabweretsa ziopsezo komanso mwayi choncho nkufunika kugwiritsa bwino ntchito mwayi omwe wabwera ndi kuthana ndi ziopsezo
Most of the adaptation practices are closely linked to agriculture because this is the sector the majority of Malawians depend on and is also heavily affected by the climate change effects,njira zambiri zomwe zimagwiritsidwa ntchito pofuna kuchita zinthu malingana ndi nyengo zimagwirizana ndi ntchito za ulimi chifukwa aMalawi ambiri amadalira ulimi komanso ulimiwo umakhudzidwa kwambiri ndi kusintha kwa nyengo
Although Malawi contributes very small amount of global greenhouse gas emissions which are regarded as main drivers of climate change,ngakhale dziko la Malawi limatulutsa mpweya umene umaononga thambo loteteza mlengalenga ochepa kwambiri omwe ndi umene umayambitsa vuto la kusintha kwa nyengo
mitigation measures are still being encouraged to be implemented although there is little that can done to slow or stop climate change in general,njira zochepetsera vutoli zikulimbikitsidwabe ngakhale sitingachite kanthu kwambiri kuti tithetse vuto la kusintha kwa nyengo
Restoring lost soil fertility through Manure making,kubwezeretsa chonde m'nthaka pogwiritsa ntchito manyowa
"Most soils in Malawi have lost their fertility levels, to the point that the production has been going down over time",nthaka yambiri ku Malawi ilibe chonde zomwe zapangitsa kuti zokolola zikhale zochepa kwa nthawi yayitali
"The main cause of this fertility loss is soil erosion which is caused by heavy rainfall, deforestation, poor agricultural practices among the others","chachikulu chomwe chapangitsa kutha kwa chonde m'nthaka ndi kukokoloka kwa nthaka zomwe zimayambika chifukwa cha mvula yochuluka, kudula mitengo mwa chisawawa ndi kusatsata njira za ulimi zoyenera"
"The loss in soil nutrients has forced many Malawians to resolve to use of inorganic fertilizers,",kutha kwa chonde mu nthaka kwapangitsa aMalawi ambiri kuyamba kugwiritsa ntchito feteleza
"but in today’s world, of climate change and poverty, inorganic fertilizers are no longer the solution because the majority cannot afford the cost of these inorganic fertilizers","koma malingana ndi kusintha kwa nyengo komanso umphawi, feteleza si yankho chifukwa ambiri sangakwanitse kugula popeza ndi odula kwambiri"
At the same time the inorganic fertilizers are hazardous to soils when used in excessive amounts and over a long period of time,"kuwonjeza apo, feteleza amaononga nthaka akagwiritsidwa ntchito kwa nthawi yayitali"
Experts have resolved to use of different types of manure supplement the inorganic fertilizers.,akatswiri amalimbikitsa kugwiritsa ntchito manyowa kuphatikiza pa feteleza
"Manures are organic fertilizers which restore the soil structures, improving moisture retention",manyowa ndi feteleza opanda mankhwala amene amabwezeretsa nthaka komanso kuthandiza nthaka kuti idzisunga chinyezi
Conservation farming has become the talk of the day in most communities with the recurrence of dry spells,Ulimi wa mtaya khasu watenga malo m'madera ambiri masiku ano chifukwa cha chilala chomwe chimakuchitika pafupipafupi
The process of conservation farming involves laying dead grass or maize stalks on the ground to suppress the weeds and conserve moisture,malimidwe a mtaya khasu amakhudza kutenga udzu owuma kapena mapesi a chimanga owuma nkuwagoneka m'mizere kuti tchire lisamele kkmanso kuti chinyezi chisungike
"Organizations are exploring every opportunity to fight the effects of climate change, ",mabungwe akusakasaka njira zolimbirana ndi zotsatira za kusintha kwa nyengo
apart from making sure that communities have nsima in the plate,Kupatula kuwonetsetsa kuti anthu ali ndi nsima m'mbale mwawo
"they have gone a mile encouraging livestock farming especially small stocks like pigs, poultry, goats among others","akulimbikitsanso alimi kupanga ulimi wa ziweto monga nkhumba, nkhuku, mbuzi, mwa zina"
